train LeroModelPairWise
Epoch: 0, training loss: 0.6139988789048562
Epoch: 1, training loss: 0.5654017819660918
Epoch: 2, training loss: 0.5369067840944367
Epoch: 3, training loss: 0.5120855730591024
Epoch: 4, training loss: 0.4907625531083022
Epoch: 5, training loss: 0.47756051473718963
Epoch: 6, training loss: 0.46536786865446933
Epoch: 7, training loss: 0.4552458722641164
Epoch: 8, training loss: 0.44314331914387844
Epoch: 9, training loss: 0.4337565197970923
Epoch: 10, training loss: 0.42317333775759974
Epoch: 11, training loss: 0.4150508448297428
Epoch: 12, training loss: 0.40089723421044166
Epoch: 13, training loss: 0.39209988964334586
Epoch: 14, training loss: 0.3893992608377887
Epoch: 15, training loss: 0.37746622944853075
Epoch: 16, training loss: 0.3701120961930888
Epoch: 17, training loss: 0.3623297479641534
Epoch: 18, training loss: 0.35695142063969915
Epoch: 19, training loss: 0.34926527043684297
Epoch: 20, training loss: 0.3431610450646711
Epoch: 21, training loss: 0.3347339428614933
Epoch: 22, training loss: 0.32968309062916623
Epoch: 23, training loss: 0.32273274963729726
Epoch: 24, training loss: 0.31377271607756424
Epoch: 25, training loss: 0.30805325376122267
Epoch: 26, training loss: 0.3027846648452607
Epoch: 27, training loss: 0.29768358648256266
Epoch: 28, training loss: 0.2882647885255337
Epoch: 29, training loss: 0.2880079589831968
Epoch: 30, training loss: 0.28087387844018774
Epoch: 31, training loss: 0.28508850583381284
Epoch: 32, training loss: 0.27019987122725453
Epoch: 33, training loss: 0.2699581684081522
Epoch: 34, training loss: 0.2645819049053881
Epoch: 35, training loss: 0.25981023424568667
Epoch: 36, training loss: 0.2573275466018801
Epoch: 37, training loss: 0.2507964124557401
Epoch: 38, training loss: 0.25018005290156076
Epoch: 39, training loss: 0.24648438297319236
Epoch: 40, training loss: 0.24294786594701914
Epoch: 41, training loss: 0.2404627296265806
Epoch: 42, training loss: 0.23718075944843037
Epoch: 43, training loss: 0.22956684106121483
Epoch: 44, training loss: 0.23174029059265386
Epoch: 45, training loss: 0.226050316665018
Epoch: 46, training loss: 0.2245991875383086
Epoch: 47, training loss: 0.22070137806512974
Epoch: 48, training loss: 0.22064202613635248
Epoch: 49, training loss: 0.2146383935312286
Epoch: 50, training loss: 0.21388280867057693
Epoch: 51, training loss: 0.21075620106460297
Epoch: 52, training loss: 0.20494167978347436
Epoch: 53, training loss: 0.20834244674241975
Epoch: 54, training loss: 0.20245796850737066
Epoch: 55, training loss: 0.20148500934876937
Epoch: 56, training loss: 0.200348928755814
Epoch: 57, training loss: 0.19261315365716516
Epoch: 58, training loss: 0.19765556772099888
Epoch: 59, training loss: 0.19380858432753953
Epoch: 60, training loss: 0.18576495072735835
Epoch: 61, training loss: 0.1898729815088174
Epoch: 62, training loss: 0.1875860357841549
Epoch: 63, training loss: 0.18835025286243978
Epoch: 64, training loss: 0.18691033503399812
Epoch: 65, training loss: 0.18506884820941008
Epoch: 66, training loss: 0.18207893562876432
Epoch: 67, training loss: 0.1761755402551144
Epoch: 68, training loss: 0.1814130897216755
Epoch: 69, training loss: 0.175639560613615
Epoch: 70, training loss: 0.17797716286918522
Epoch: 71, training loss: 0.17367447253513238
Epoch: 72, training loss: 0.17486699624360377
Epoch: 73, training loss: 0.17027132643812337
Epoch: 74, training loss: 0.16463262627162145
Epoch: 75, training loss: 0.1686329591035646
Epoch: 76, training loss: 0.17217122699225643
Epoch: 77, training loss: 0.16861131827987244
Epoch: 78, training loss: 0.16483503095778315
Epoch: 79, training loss: 0.16359371281375948
Epoch: 80, training loss: 0.16248156936819103
Epoch: 81, training loss: 0.16663073354838065
Epoch: 82, training loss: 0.16145344498540173
Epoch: 83, training loss: 0.16288216469067163
Epoch: 84, training loss: 0.15657526502366612
Epoch: 85, training loss: 0.15841093336628154
Epoch: 86, training loss: 0.15653632458926658
Epoch: 87, training loss: 0.15560644340484586
Epoch: 88, training loss: 0.15681985742031007
Epoch: 89, training loss: 0.15227200910468247
Epoch: 90, training loss: 0.15946960400298937
Epoch: 91, training loss: 0.1525173643041807
Epoch: 92, training loss: 0.1495340758748433
Epoch: 93, training loss: 0.14575922159643198
Epoch: 94, training loss: 0.15106742731822242
Epoch: 95, training loss: 0.14585814838578537
Epoch: 96, training loss: 0.15096543732326603
Epoch: 97, training loss: 0.15336861265574242
Epoch: 98, training loss: 0.14595487451523867
Epoch: 99, training loss: 0.14535691201065196
